標的名稱,代碼,幣別,類型,成立日期,風險收益等級,配息頻率,淨值日期,淨值,三個月(%),六個月(%),一年(%),三年(%),成立以來(%),年化標準差,年化Sharpe,年化Beta,規模日期,基金規模,嘉實基金評等,備註
施羅德中國非投資等級債券基金-人民幣(基金之配息來源可能為本金)(本投資標的於2023/7/1後不提供新契約連結),ACES20-SD040,人民幣,,2013/05/24,RR4,,2026/08/25,2.3013,0.39,-0.2,1.38,12.58,,2.26,0.02,0.65,2.3013,0.56億,,正常狀態
匯豐中國A股匯聚基金-人民幣,ACCI52-HSB16,人民幣,,2015/03/18,RR5,,2026/08/25,4.3073,-13.79,-19.78,1.35,17.47,,21.74,0.03,1.33,4.3073,5.22億,,正常狀態
柏瑞ESG量化債券基金B(月配息)-美元(本基金有一定比重得投資於非投資等級之高風險債券且配息來源可能為本金)*,ACAI275-AIG40,美元,,2020/01/30,RR2,,2026/08/25,7.0188,0.41,-1.85,1.34,14.63,,4.24,0.01,1.06,7.0188,3.93億,,正常狀態
摩根中國雙息平衡基金(累積型)-人民幣(本基金有相當比重投資於非投資等級之高風險債券且並無保證收益及配息),ACJF133-JF104,人民幣,,2015/08/25,RR4,,2026/08/25,17.7605,-2.73,-5.75,0.96,21.21,,9.02,0.003,0.24,17.7605,2.79億,,正常狀態
野村全球金融收益基金(累積)-美元(本基金之配息來源可能為本金且並無保證收益及配息),ACKH114-ING70,美元,,2018/08/21,RR2,,2026/08/25,11.5614,0.08,-2.16,0.93,15.44,,4.41,-0.01,1.12,11.5614,3.93億,,正常狀態
柏瑞多重資產特別收益基金B(月配息)-美元(本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金)*,ACAI193-AIG31,美元,,2018/01/31,RR3,,2026/08/25,6.7936,-0.44,-1.47,0.81,14.43,,3.95,-0.03,1.2,6.7936,2.91億,,正常狀態
摩根亞洲總合非投資等級債券基金-人民幣(月配息)(本基金之配息來源可能為本金)(本投資標的於2023/7/1後不提供新契約連結)*,ACJF122-JF087,人民幣,,2015/01/07,RR4,,2026/08/25,5.5708,0.98,-0.22,0.66,13.29,,3.21,-0.05,0.87,5.5708,0.21億,,正常狀態
柏瑞全球策略非投資等級債券基金-B人民幣(月配息)(本基金之配息來源可能為本金)(本投資標的於2023/7/1後不提供新契約連結)*,ACAI33-AIG12,人民幣,,2014/09/18,RR3,,2026/08/25,6.0936,0.57,-0.35,0.31,13.1,,2.92,-0.09,0.9,6.0936,1.58億,,正常狀態
群益印度中小基金-新臺幣,ACCA30-CPL23,台幣,,2011/06/08,RR5,,2026/08/25,31.29,1.53,-0.19,0.26,25.76,,14.71,0.001,0.88,31.29,86.92億,,正常狀態
瀚亞全球非投資等級債券基金 B-人民幣(月配息)(本基金配息來源可能為本金)(本投資標的於2023/7/1後不提供新契約連結)*,ACCP48-PCA33,人民幣,,2014/09/25,RR3,,2026/08/25,4.2974,0.61,-0.15,0.07,12.63,,2.18,-0.15,0.68,4.2974,1.84億,,正常狀態
宏利實質多重資產證券投資信託基金-B類型(月配息)-人民幣(本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金)*,ACAP189-MNU31,人民幣,,2021/08/17,RR3,,2026/08/25,7.0991,-1.14,-3.07,0.003,8.55,,4.27,-0.08,0.22,7.0991,0.29億,,正常狀態
野村環球非投資等級債券基金-人民幣(本基金配息來源可能為本金)(本投資標的於2023/7/1後不提供新契約連結),ACKH34-ING42,人民幣,,2014/09/25,RR3,,2026/08/25,14.0059,1.13,0.25,-0.22,12.67,,2.69,-0.15,0.81,14.0059,0.31億,,正常狀態
野村環球非投資等級債券基金-人民幣(月配息)(本基金配息來源可能為本金)(本投資標的於2023/7/1後不提供新契約連結)*,ACKH35-ING38,人民幣,,2014/09/25,RR3,,2026/08/25,6.2793,1.08,0.17,-0.45,12.48,,2.72,-0.17,0.82,6.2793,1.32億,,正常狀態
柏瑞新興亞太策略債券基金-人民幣(本基金有相當比重投資於非投資等級之高風險債券)(本投資標的於2023/7/1後不提供新契約連結),ACAI36-AIG16,人民幣,,2015/06/17,RR3,,2026/08/25,13.6367,-0.23,-2.06,-0.63,11.73,,3.66,-0.14,0.86,13.6367,0.10億,,正常狀態
柏瑞新興亞太策略債券基金-人民幣(月配息)(本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金)(本投資標的於2023/7/1後不提供新契約連結)*,ACAI37-AIG17,人民幣,,2015/02/03,RR3,,2026/08/25,6.7887,-0.23,-2.06,-0.64,11.74,,3.66,-0.14,0.86,6.7887,0.37億,,正常狀態
安聯特別收益多重資產基金-A類型(累積)-美元(本基金有相當比重投資於非投資等級之高風險債券),ACDD115-DS103,美元,,2020/07/21,RR3,,2026/08/25,10.98,-0.63,-2.83,-0.72,14.49,,3.91,-0.14,0.23,10.98,0.72億,,正常狀態
安聯特別收益多重資產基金-B類型(月配息)-美元(本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金)*,ACDD116-DS104,美元,,2020/07/21,RR3,,2026/08/25,7.55,-0.64,-2.26,-0.77,14.43,,3.89,-0.14,0.23,7.55,1.25億,,正常狀態
宏利亞太入息債券基金-人民幣避險(本投資標的於2023/7/1後不提供新契約連結),ACAP54-MNU10,人民幣,,2015/03/20,RR3,,2026/08/25,3.2811,-0.47,-2.16,-0.88,6.28,,2.72,-0.22,0.72,3.2811,8.82億,,正常狀態
宏利亞太入息債券基金-人民幣避險(月配息)(本基金之配息來源可能為本金及收益平準金且並無保證收益及配息)(本投資標的於2023/7/1後不提供新契約連結)*,ACAP55-MNU11,人民幣,,2015/03/20,RR3,,2026/08/25,1.9584,-0.5,-1.71,-0.9,5.71,,2.3,-0.26,0.61,1.9584,0.03億,,正常狀態
柏瑞ESG新興市場企業策略債券基金-人民幣(本基金有相當比重投資於非投資等級之高風險債券)(本投資標的於2023/7/1後不提供新契約連結),ACAI34-AIG14,人民幣,,2016/05/03,RR3,,2026/08/25,12.2945,-0.16,-2.02,-0.97,9.17,,3.32,-0.19,0.69,12.2945,0.02億,,正常狀態
柏瑞ESG新興市場企業策略債券基金-人民幣(月配息)(本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金)(本投資標的於2023/7/1後不提供新契約連結)*,ACAI35-AIG15,人民幣,,2015/06/08,RR3,,2026/08/25,6.0624,-0.16,-2.02,-0.98,9.18,,3.32,-0.19,0.69,6.0624,0.05億,,正常狀態
富蘭克林華美全球非投資等級債券基金-人民幣(月配息)(本基金之配息來源可能為本金)(本投資標的於2023/7/1後不提供新契約連結)*,ACFT26-FL048,人民幣,,2014/10/01,RR3,,2026/08/25,6.668,0.32,-1.2,-1.09,12.54,,2.59,-0.26,0.83,6.668,1.03億,,正常狀態
合庫全球非投資等級債券基金-人民幣(月配息)(本基金主要係投資於非投資等級之高風險債券且配息來源可能為本金)(本投資標的於2023/7/1後不提供新契約連結)*,ACCB17-TCB14,人民幣,,2015/01/12,RR3,,2026/08/25,6.6783,0.32,-0.98,-1.39,12.44,,2.09,-0.36,0.64,6.6783,0.59億,,正常狀態
台新策略優選總回報非投資等級債券基金(月配息)-人民幣(本基金之配息來源可能為本金)(本投資標的於2023/7/1後不提供新契約連結),ACTT94-TS029,人民幣,,2020/10/23,RR3,,2026/08/25,8.0434,0.39,-0.7,-1.4,11.81,,1.79,-0.42,0.52,8.0434,0.15億,,正常狀態
兆豐中國A股基金-人民幣,ACII41-MG003,人民幣,,2017/01/16,RR5,,2026/08/25,17.35,-1.14,-7.91,-1.53,13.85,,10.88,-0.06,0.02,17.35,5.91億,,正常狀態
群益全球特別股收益基金B(月配息)-新臺幣(本基金之配息來源可能為本金)*,ACCA100-CPL15,台幣,,2017/06/21,RR3,,2026/08/25,5.48,-0.91,-3.79,-1.68,2.06,,4.04,-0.2,0.07,5.48,0.80億,,正常狀態
柏瑞特別股息收益基金B(月配息)-新臺幣(本基金並無保證收益及配息且配息來源可能為本金)*,ACAI166-AIG25,台幣,,2017/01/23,RR3,,2026/08/25,5.96,-2.85,-5.17,-2.43,3.97,,4.06,-0.26,0.15,5.96,40.81億,,正常狀態
柏瑞特別股息收益基金A-新臺幣(本基金並無保證收益及配息),ACAI165-AIG24,台幣,,2017/01/23,RR3,,2026/08/25,11.59,-2.85,-5.16,-2.44,3.95,,3.96,-0.26,0.14,11.59,7.54億,,正常狀態
聯邦美國優選投資等級債券證券投資信託基金-B類型-美元(本基金有一定比重得投資於非投資等級債券且配息來源可能為本金),ACUI88-UN004,美元,,2024/05/23,RR2,,2026/08/25,8.8722,-1.98,-4.61,-2.58,N/A,,7.69,-0.13,1.89,8.8722,0.27億,,正常狀態
野村全球金融收益基金(月配息)-人民幣(本基金之配息來源可能為本金且並無保證收益及配息)*,ACKH118-ING93,人民幣,,2018/08/21,RR2,,2026/08/25,7.4076,-0.68,-3.46,-2.69,7.37,,4.18,-0.27,1.08,7.4076,1.59億,,正常狀態
台新ESG環保愛地球成長基金A-人民幣,ACTT124-TS032,人民幣,,2021/08/04,RR4,,2026/08/25,8.9727,-9.61,-2.63,-3,12.86,,17.57,-0.05,1.16,8.9727,0.63億,,正常狀態
瀚亞印度策略收益債券基金B(月配息)-新臺幣(本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金)(本投資標的於2023/7/1後不提供新契約連結)*,ACCP106-PCA46,台幣,,2017/09/12,RR3,,2026/08/25,4.85,3.42,-1.74,-3.24,-7.01,,7.25,-0.17,1.52,4.85,2.39億,,正常狀態
柏瑞特別股息收益基金B(月配息)-美元(本基金並無保證收益及配息且配息來源可能為本金)*,ACAI168-AIG27,美元,,2017/01/23,RR3,,2026/08/25,6.66,-3.03,-5.42,-3.6,8.74,,4.79,-0.29,0.29,6.66,33.47億,,正常狀態
柏瑞特別股息收益基金A-美元(本基金並無保證收益及配息),ACAI167-AIG26,美元,,2017/01/23,RR3,,2026/08/25,12.69,-3.06,-5.37,-3.64,8.83,,4.79,-0.29,0.29,12.69,5.69億,,正常狀態
合庫標普利變特別股收益指數基金A(累積型)-人民幣*,ACCB38-TCB29,人民幣,,2018/03/26,RR4,,2026/08/25,12.73,-1.16,-1.85,-3.85,8.43,,3.32,-0.44,0.11,12.73,0.06億,,正常狀態
合庫標普利變特別股收益指數基金B(月配息)-人民幣(本基金之配息來源可能為本金)*,ACCB39-TCB28,人民幣,,2018/03/26,RR4,,2026/08/25,6.89,-1.16,-1.97,-3.89,8.44,,3.17,-0.47,0.1,6.89,0.32億,,正常狀態
瀚亞印度策略收益債券基金B(月配息)-美元(本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金)(本投資標的於2023/7/1後不提供新契約連結)*,ACCP107-PCA47,美元,,2017/09/12,RR3,,2026/08/25,4.99,3.12,-2.07,-4.72,-2.29,,7.58,-0.22,1.7,4.99,1.06億,,正常狀態
中國信託亞太實質收息多重資產基金B(月配息)-新臺幣(本基金之配息來源可能為本金),ACDS87-CT001,台幣,,2020/04/30,RR4,,2026/08/25,7.76,-10.09,-11.2,-4.91,6.73,,23.23,-0.05,1,7.76,0.17億,,正常狀態
瀚亞印度策略收益平衡基金B(月配息)-新臺幣(本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金)*,ACCP102-PCA44,台幣,,2017/09/12,RR3,,2026/08/25,5.76,4.22,-4.2,-5.06,-0.95,,10.5,-0.16,2.26,5.76,2.13億,,正常狀態
群益全球特別股收益基金B(月配息)-美元(本基金之配息來源可能為本金)*,ACCA102-CPL16,美元,,2017/06/21,RR3,,2026/08/25,5.7617,-1.67,-4.89,-5.12,4.01,,5.05,-0.36,0.29,5.7617,0.25億,,正常狀態
瀚亞印度策略收益平衡基金B(月配息)-美元(本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金)*,ACCP103-PCA45,美元,,2017/09/12,RR3,,2026/08/25,6.05,4.19,-4.01,-5.52,4.7,,11.02,-0.17,2.43,6.05,1.41億,,正常狀態
台新中証消費服務領先指數基金,ACTT20-TS009,台幣,,2014/06/03,RR5,,2026/08/25,18.243,-0.82,-3.83,-6.18,3.03,,7.5,-0.28,0.24,18.243,13.19億,,正常狀態
台新ESG環保愛地球成長基金A-澳幣,ACTT126-TS033,澳幣,,2021/08/04,RR4,,2026/08/25,8.8951,-8.97,-1.17,-6.43,9.6,,16.35,-0.12,0.84,8.8951,0.41億,,正常狀態
柏瑞特別股息收益基金B(月配息)-人民幣(本基金並無保證收益及配息且配息來源可能為本金)*,ACAI170-AIG33,人民幣,,2017/01/23,RR3,,2026/08/25,5.93,-3.86,-6.79,-6.63,0.96,,4.67,-0.49,0.28,5.93,8.11億,,正常狀態
中國信託越南機會基金-新臺幣,ACDS94-CT002,台幣,,2020/08/25,RR5,,2026/08/25,14.02,-4.04,-8.49,-7.64,4.47,,18.53,-0.12,0.75,14.02,74.89億,,正常狀態
台新中証消費服務領先指數基金-美元,ACTT52-TS017,美元,,2018/05/03,RR5,,2026/08/25,0.5738,-1.75,-5.44,-10.36,3,,9.26,-0.37,0.42,0.5738,5.85億,,正常狀態
