"標的名稱","代碼","幣別","類型","成立日期","風險收益等級","配息頻率","淨值日期","淨值","三個月(%)","六個月(%)","一年(%)","三年(%)","成立以來(%)","年化標準差","年化Sharpe","年化Beta","規模日期","基金規模","嘉實基金評等","備註"
"景順多元收益成長基金 A-穩定月配息(美元對沖)股美元(基金之配息來源可能為本金)_(月配/現金)","TFR2","美元","平衡型","2020/03/04","RR3","月配","2026/05/22","10.852","-0.63","6.6","10.98","35.03","57.21","8.76","0.32","0.57","2026/03/31","2120.00百萬(歐元)","2",""
"景順全球科技基金M8月配息型新台幣(基金之配息來源可能為本金)","TFR3","台幣","跨國投資股票型全球市場","2023/10/27","RR4","月配","2026/05/22","18.64","19.72","29.25","60.44","N/A","126.12","17.58","0.79","1.15","2026/04/30","2.7716億","",""
"安盛環球基金－最佳收益基金A DIS「fl」美元(避險)(月配息)pf(基金之配息來源可能為本金)","TFR4","美元","平衡型","2022/03/07","RR3","月配","2026/05/22","98.65","2.61","11.16","15.56","33.31","39.47","10.97","0.37","0.6","2026/03/31","389.00百萬(歐元)","2.5",""
"野村基金(愛爾蘭系列)-全球多元收益債券基金(TD美元類股)(本基金之配息來源可能為本金且有相當比重投資於非投資等級之高風險債券且並無保證收益及配息)","TFR5","美元","債券型","2021/07/15","RR3","月配","2026/05/22","72.0962","-1.73","0.89","7.96","20.91","2.98","4.46","0.42","1.06","2026/03/31","2411.00百萬(美元)","4",""
"景順環球高評級企業債券基金E-穩定月配息股美元(基金之配息來源可能為本金)_(月配/現金)","TFR6","美元","公司債券","2020/03/04","RR2","月配","2026/05/22","7.0656","-1.7","-0.33","4.91","17.58","2.24","3.61","0.29","0.95","2026/03/31","1200.00百萬(美元)","3",""
"M＆G收益優化基金A(美元避險月配)F(本基金配息來源可能為本金)","TFR7","美元","債券型","2020/03/02","RR3","月配","2026/05/22","84.1261","-2.5","-0.75","4.46","16.66","N/A","4.51","0.21","1.18","2026/03/31","8092.00百萬(歐元)","3",""
"安聯美國收益基金-AMg穩定月收總收益類股(美元)(本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金)_(月配/現金)","TFR8","美元","債券型","2020/04/15","RR3","月配","2026/05/22","7.3662","-1.18","0.3","5.25","15.74","13.16","3.18","0.36","0.79","2026/03/31","473.00百萬(美元)","3.5",""
"施羅德環球基金系列－環球多元收益(美元)A-月配固定(本基金之配息來源可能為本金)","TFR9","美元","平衡型","2018/02/14","RR3","月配","2026/05/22","108.4177","1.39","7.46","16.94","38.39","59.43","5.2","0.81","0.33","2026/04/30","1567.00百萬(美元)","3",""
"貝萊德世界債券基金 A3 美元(本基金非屬環境、社會及治理相關主題基金)","TFRB","美元","債券型","2004/04/02","RR2","月配","2026/05/22","53.12","-1.64","-0.28","3.82","12.2","47.88","3.83","0.2","1","2026/03/31","919.00百萬(美元)","3",""
"摩根基金－歐洲基金 - JPM 歐洲(美元)－ A股(分派)","TFRQ","美元","股票型","2001/06/01","RR4","年配","2026/05/21","82.42","-2.85","14.08","18.62","56.98","372.95","18.4","0.28","1.03","2026/03/31","2175.00百萬(美元)","4",""
"摩根總收益組合基金-月配息型(本基金之配息來源可能為本金)","TFRT","台幣","全球組合型債券型","2012/11/01","RR2","月配","2026/05/22","7.936","-1","0.14","3.94","7.82","10.85","2.41","0.32","0.56","2026/04/30","0.5593億","1.5",""
"摩根台灣增長基金","TFRW","台幣","國內股票開放型一般股票型","1994/04/07","RR4","","2026/05/25","194.4","35.67","73.08","106.26","169.78","2023.45","25.2","0.87","1.09","2026/04/30","25.786億","1",""
"摩根新興科技基金-一般型(原名稱：摩根新興科技基金)","TFRX","台幣","國內股票開放型科技類","1995/03/23","RR5","無","2026/05/25","495.62","69.39","143.73","271.45","431.04","4856.2","27.33","1.48","0.7","2026/04/30","208.2103億","3.5",""
"宏利環球基金－美元收益基金AA股(本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金)","TFRY","美元","固定收益","2007/01/29","RR3","年配","2026/05/22","1.037","-1.29","0.86","6.3","14.05","91.1","4.01","0.36","0.99","2026/03/31","123.00百萬(美元)","2.5",""
"施羅德環球基金系列－環球收息債券(美元)A-月配固定(本基金有相當比重投資於非投資等級之高風險債券且基金之配息來源可能為本金)","TFS1","美元","債券型","2016/11/30","RR2","月配","2026/05/22","85.5804","-1.03","0.68","6.05","23.11","41.11","3.41","0.4","0.85","2026/04/30","8579.00百萬(美元)","4",""
