標的名稱,代碼,幣別,類型,成立日期,風險收益等級,配息頻率,淨值日期,淨值,三個月(%),六個月(%),一年(%),三年(%),成立以來(%),年化標準差,年化Sharpe,年化Beta,規模日期,基金規模,嘉實基金評等,備註
瀚亞投資─優質公司債基金Aadmc1(澳幣避險穩定月配) (本基金配息來源可能為本金),IOF40-TFQG,澳幣,公司債券,2013/03/01,RR2,月配,2026/08/18,7.051,-0.4,-2.16,0.76,11.11,27.33,3.64,-0.03,1.02,2026/06/30,"2,916.00百萬",1.5,
景順健康護理創新基金A-年配息股 美元,CTZ19-TFQJ,美元,健康護理股,1994/03/03,RR3,無,2026/08/18,221.19,14.01,4.81,16.53,28.06,N/A,12.51,0.34,0.79,2026/06/30,243.00百萬,2.5,
聯博-短期債券基金 AT股美元(基金之配息來源可能為本金),ALZ58-TFQK,美元,債券型,2002/09/26,RR2,月配,2026/08/18,7.2,0.97,0.54,2.48,12.16,N/A,1.33,0.27,0.34,2026/06/30,428.00百萬,3,
聯博-歐洲收益基金 AT股歐元(本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金),ALZ87-TFQO,歐元,債券型,2003/10/09,RR3,月配,2026/08/18,5.71,0.69,-1.19,0.67,14.86,118.57,3.1,-0.05,0.72,2026/06/30,"1,138.00百萬",2.5,
貝萊德亞洲老虎債券基金 A3 美元(基金有相當比重投資於非投資等級之高風險債券),SHZG3-TFQQ,美元,債券型,2003/09/01,RR3,月配,2026/08/18,10.23,0.99,-0.51,4.16,24.1,130.56,2.87,0.29,0.74,2026/05/31,"2,123.00百萬",4.5,
貝萊德美元優質債券基金 A3 美元,SHZ97-TFQS,美元,債券型,2003/09/01,RR2,月配,2026/08/18,14.79,0.12,-1.96,1.96,12.63,77.3,3.36,0.07,0.95,2026/05/31,533.00百萬,3,
貝萊德環球政府債券基金 A3 美元,SHZ94-TFQU,美元,市政債券,2003/09/01,RR2,月配,2026/08/18,19.25,0.24,-2.24,0.62,10.12,76.48,3.31,-0.05,1.7,2026/05/31,818.00百萬,3.5,
野村全球高股息基金季配型新臺幣計價(本基金之配息來源可能為本金且並無保證收益及配息),ACIC1001-TFQV,台幣,跨國投資股票型全球市場,2007/10/01,RR3,季配,2026/08/18,25.01,8.77,14.24,43,94.77,152.03,16.07,0.65,1.3,2026/07/31,1.538億,4,
野村亞太高股息基金季配型新臺幣計價(本基金之配息來源可能為本金且並無保證收益及配息),ACIC1801-TFQW,台幣,跨國投資股票型區域型,2007/10/01,RR5,季配,2026/08/18,16.88,-1.87,19.4,71.6,85.71,87.05,24.47,0.67,1.28,2026/07/31,0.241億,4,
安聯收益成長基金-AMg7月收總收益類股(美元)(本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金)_(月配/現金),TLZF9-TFR1,美元,平衡型,2020/02/03,RR3,月配,2026/08/18,8.7914,0.88,5.47,11.64,40.52,65.18,6.87,0.42,0.44,2026/06/30,"58,185.00百萬",2.5,
景順多元收益成長基金 A-穩定月配息(美元對沖)股美元(基金之配息來源可能為本金)_(月配/現金),CTZR0-TFR2,美元,平衡型,2020/03/04,RR3,月配,2026/08/18,10.981,4.13,2.6,9.7,38.24,62.16,5.86,0.41,0.45,2026/06/30,"2,323.00百萬",2.5,
景順全球科技基金M8月配息型新台幣(基金之配息來源可能為本金),ACCS132-TFR3,台幣,跨國投資股票型全球市場,2023/10/27,RR4,月配,2026/08/18,18.09,1.51,18.98,40.01,N/A,124.73,16.55,0.6,1.18,2026/07/31,5.0891億,,
安盛環球基金－最佳收益基金A DIS「fl」美元(避險)(月配息)pf(基金之配息來源可能為本金),AXA27-TFR4,美元,平衡型,2022/03/07,RR3,月配,2026/08/18,99.83,5.4,5.96,16.56,40.27,43.92,10.34,0.41,0.51,2026/06/30,441.00百萬,2.5,
野村基金(愛爾蘭系列)-全球多元收益債券基金(TD美元類股)(本基金之配息來源可能為本金且有相當比重投資於非投資等級之高風險債券且並無保證收益及配息),NFI27-TFR5,美元,債券型,2021/07/15,RR3,月配,2026/08/18,71.1981,1.65,-0.76,4.21,23.15,4.09,3.81,0.23,0.91,2026/06/30,"2,530.00百萬",4.5,
景順環球高評級企業債券基金E-穩定月配息股美元(基金之配息來源可能為本金)_(月配/現金),CTZP0-TFR6,美元,公司債券,2020/03/04,RR2,月配,2026/08/18,6.8957,0.19,-1.9,1.14,18.02,1.97,3.1,-0.004,0.84,2026/06/30,"1,213.00百萬",3,
M＆G收益優化基金A(美元避險月配)F(本基金配息來源可能為本金),MMG58-TFR7,美元,債券型,2020/03/02,RR3,月配,2026/08/18,82.2891,0.33,-1.98,1.72,16.71,N/A,3.98,0.04,1.02,2026/06/30,"7,840.00百萬",3,
安聯美國收益基金-AMg穩定月收總收益類股(美元)(本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金)_(月配/現金),TLZG9-TFR8,美元,債券型,2020/04/15,RR3,月配,2026/08/18,7.2341,0.31,-0.97,2.06,16.45,13.32,2.49,0.1,0.67,2026/06/30,355.00百萬,3,
施羅德環球基金系列－環球多元收益(美元)A-月配固定(本基金之配息來源可能為本金),PYZW5-TFR9,美元,平衡型,2018/02/14,RR3,月配,2026/08/18,108.3888,1.83,3.25,12.93,41.66,62.21,4.52,0.71,0.36,2026/06/30,"1,804.00百萬",3,
貝萊德世界債券基金 A3 美元(本基金非屬環境、社會及治理相關主題基金),SHZM1-TFRB,美元,債券型,2004/04/02,RR2,月配,2026/08/18,52.69,0.38,-1.56,1.48,13.22,47.89,3.15,0.03,0.86,2026/05/31,949.00百萬,3,
摩根基金－歐洲基金 - JPM 歐洲(美元)－ A股(分派),JFZ24-TFRQ,美元,股票型,2001/06/01,RR4,年配,2026/08/18,86.42,6.1,3.02,18.88,70.07,395.9,13.66,0.36,0.94,2026/06/30,"2,515.00百萬",3.5,
